,package,version,update_date,depends,makedepends,checkdepends,opt_depends
0,0ad,a22,2018-04-11T19:20:16.359Z,0ad-data binutils boost-libs curl enet gloox glu icu libgl libminiupnpc.so=17-64 libogg libpng libvorbis libxml2 miniupnpc nspr openal sdl2 wxgtk zlib,boost cmake libsm mesa python2 zip,,
1,0ad-data,a22,2017-07-26T23:08:52.433Z,,,,
2,4ti2,1.6.7,2017-03-24T11:48:29.174Z,glpk,,,
3,6tunnel,0.12,2016-10-31T11:37:07.250Z,,,,
4,9base,6,2013-09-30T20:23:32.225Z,sh,,,
5,a2jmidid,8,2017-12-24T15:58:03.984Z,jack python2-dbus,,,
6,a2ps,4.14,2016-05-05T21:35:36.970Z,imagemagick psutils,gperf,,
7,a52dec,0.7.4,2016-06-10T10:44:58.802Z,glibc,,,
8,aalib,1.4rc5,2016-05-05T22:37:46.114Z,gpm libx11,libxt,,
9,aarch64-linux-gnu-binutils,2.30,2018-01-29T17:33:19.219Z,zlib,,,
10,aarch64-linux-gnu-gcc,7.3.0,2018-01-27T00:04:58.497Z,aarch64-linux-gnu-binutils aarch64-linux-gnu-glibc libmpc zlib,gmp mpfr,,
11,aarch64-linux-gnu-gdb,8.1,2018-02-03T16:59:33.000Z,expat gdb-common guile2.0 mpfr ncurses python xz,,,
12,aarch64-linux-gnu-glibc,2.27,2018-02-02T13:39:44.837Z,aarch64-linux-gnu-gcc aarch64-linux-gnu-linux-api-headers,,,
13,aarch64-linux-gnu-linux-api-headers,4.16,2018-04-07T18:54:23.317Z,,,,
14,abcde,2.9.1,2018-04-03T16:12:06.889Z,bash cd-discid vorbis-tools wget,,,cdparanoia: Paranoia ripping support flac: FLAC encoding support glyr: album art support lame: MP3 encoding support python-eyed3: ID3 tag support vorbisgain: Ogg Vorbis normalization support
15,abduco,0.6,2017-08-01T06:53:27.957Z,,,,
16,abiword,3.0.2,2018-01-25T20:56:41.326Z,aiksaurus desktop-file-utils enchant fribidi goffice gtkmathview gtk-update-icon-cache libgsf libical libots librsvg libsoup libwmf libwpg libwps libxslt link-grammar loudmouth psiconv redland wv,asio boost gobject-introspection libwpd libwps pkgconfig python2-gobject python-gobject,,
17,abook,0.6.1,2016-11-14T07:47:45.643Z,readline,git,,
18,absl-py,0.2.0,2018-04-20T05:17:59.724Z,,python-setuptools,,
19,abuse,0.8,2017-02-14T09:27:10.580Z,desktop-file-utils gcc-libs glu libgl sdl_mixer,gendesk glu mesa-libgl,,
20,acbuild,0.4.0,2017-10-12T15:17:29.082Z,glibc,go-pie,,gnupg: to sign container images
21,accerciser,3.22.0,2017-01-06T08:19:36.316Z,gtk3 ipython libwnck3 python python-atspi python-cairo,docbook-xsl git gnome-common intltool itstool,,
22,accounts-qml-module,0.7,2016-06-14T10:34:19.922Z,libaccounts-qt qt5-declarative signond,qt5-tools,,
23,accountsservice,0.6.47,2018-04-25T04:56:04.062Z,glib2 polkit systemd,git gobject-introspection gtk-doc intltool,,
24,accuraterip-checksum,1.4,2017-08-02T20:15:42.760Z,libsndfile,,,
25,acetoneiso2,2.3,2018-04-27T11:37:02.316Z,cdrdao cdrtools dvd+rw-tools fuseiso gnupg mplayer phonon-qt5 pinentry qt5-webkit,,,p7zip: for ISO compress/decompress support
26,ack,2.22,2018-01-07T17:10:50.160Z,perl-file-next,,,
27,acl,2.2.52,2017-08-08T08:18:36.286Z,attr>=2.4.46,,,
28,acme-tiny,4.0.3,2018-03-22T11:48:10.999Z,openssl python,,,
29,acorn,5.5.3,2018-03-09T10:08:45.954Z,nodejs,npm,,
30,acpi,1.7,2017-08-15T17:43:43.041Z,glibc,,,
31,acpi_call,1.1.0,2018-05-02T21:02:10.013Z,linux>=4.16 linux<4.17,linux-headers>=4.16 linux-headers<4.17,,
32,acpi_call-dkms,1.1.0,2018-05-02T21:02:09.882Z,dkms,linux-headers>=4.16 linux-headers<4.17,,
33,acpi_call-lts,1.1.0,2018-04-25T14:09:03.422Z,linux-lts>=4.14.36,linux-lts-headers>=4.14.36,,
34,acpid,2.0.29,2018-04-22T21:49:21.640Z,bash,,,perl: use perl based examples
35,activity-log-manager,0.9.7,2018-01-15T20:47:39.684Z,gtk3 libgee zeitgeist,intltool vala,,
36,adapta-gtk-theme,3.93.1.7,2018-05-03T07:35:10.264Z,,git gnome-shell inkscape libxml2 parallel sassc,,gtk-engine-murrine: for gtk2 themes noto-fonts: Recommended font ttf-roboto: Recommended font
37,adapta-kde,20180401,2018-04-02T08:31:18.238Z,,,,adapta-gtk-theme: Matching GTK theme kvantum-theme-adapta: Adapta theme for Kvantum Qt style (recommended)
38,addinclude,1.0,2017-11-16T22:19:26.859Z,,gcc-go,,
39,adns,1.5.1,2016-08-15T11:33:08.686Z,glibc,,,
40,adobe-source-code-pro-fonts,2.030ro+1.050it,2017-10-18T22:03:04.922Z,,,,
41,adobe-source-han-sans-cn-fonts,1.004,2017-04-23T17:43:50.770Z,fontconfig,,,
42,adobe-source-han-sans-jp-fonts,1.004,2017-04-23T17:43:50.845Z,fontconfig,,,
43,adobe-source-han-sans-kr-fonts,1.004,2017-04-23T17:43:50.747Z,fontconfig,,,
44,adobe-source-han-sans-otc-fonts,1.004,2017-04-23T17:43:50.786Z,fontconfig,,,
45,adobe-source-han-sans-tw-fonts,1.004,2017-04-23T17:43:50.871Z,fontconfig,,,
46,adobe-source-han-serif-cn-fonts,1.001,2017-05-18T06:17:55.109Z,fontconfig,,,
47,adobe-source-han-serif-jp-fonts,1.001,2017-05-18T06:17:55.162Z,fontconfig,,,
48,adobe-source-han-serif-kr-fonts,1.001,2017-05-18T06:17:55.189Z,fontconfig,,,
49,adobe-source-han-serif-otc-fonts,1.001,2017-05-18T06:17:55.138Z,fontconfig,,,
50,adobe-source-han-serif-tw-fonts,1.001,2017-05-18T06:17:55.077Z,fontconfig,,,
51,adobe-source-sans-pro-fonts,2.020ro+1.075it,2017-01-12T17:57:22.757Z,,,,
52,adobe-source-serif-pro-fonts,2.000,2017-01-22T13:42:19.302Z,,,,
53,adwaita-icon-theme,3.28.0,2018-03-24T22:50:31.524Z,gtk-update-icon-cache hicolor-icon-theme librsvg,git gnome-common gtk3 intltool,,
54,aegisub,3.2.2,2018-03-29T22:10:13.916Z,alsa-lib boost-libs fftw fontconfig gcc-libs glibc hunspell icu libass.so=9-64 libffms2.so=4-64 libgl libpulse wxgtk3 zlib,boost intltool mesa,,
55,aeolus,0.9.5,2017-12-24T16:04:52.205Z,clthreads clxclient jack zita-alsa-pcmi,,,
56,afl,2.52b,2017-11-05T22:40:57.380Z,bash glibc,clang gcc llvm python wget,,clang: clang instrumentation support gcc: gcc instrumentation support gnuplot: graph plotting support llvm: experimental clang-fast instrumentation support
57,afl-utils,1.33a,2017-08-03T15:43:27.225Z,afl coreutils python rsync,python-setuptools,,gdb: gdb script execution support screen: interactive/screen mode support sqlite: database support
58,afpfs-ng,0.8.1,2017-12-24T09:13:54.107Z,fuse gmp libgcrypt,,,
59,agave,0.4.7,2018-01-14T00:22:23.647Z,gconfmm libglademm,boost gnome-doc-utils intltool,,
60,agda,2.5.3,2018-04-12T07:12:00.673Z,alex ghc-libs happy haskell-async haskell-blaze-html haskell-boxes haskell-cpphs haskell-data-hash haskell-edisonapi haskell-edisoncore haskell-edit-distance haskell-equivalence haskell-geniplate-mirror haskell-gitrev haskell-hashable haskell-hashtables haskell-ieee754 haskell-monadplus haskell-mtl haskell-murmur-hash haskell-parallel haskell-regex-tdfa haskell-stm haskell-strict haskell-text haskell-unordered-containers haskell-uri-encode haskell-zlib,ghc,,agda-stdlib: for standard library
61,agda-stdlib,0.15,2018-03-18T19:04:48.044Z,agda,ghc haskell-filemanip,,
62,agg,2.5,2016-04-30T10:30:44.305Z,freetype2 gcc-libs sdl,,,
63,aide,0.16,2016-09-28T14:38:42.773Z,acl e2fsprogs elfutils mhash pcre,,,
64,aiksaurus,1.2.1,2015-12-10T05:52:44.865Z,gtk2,,,
65,aircrack-ng,1.2rc4,2017-04-24T12:25:53.040Z,ethtool iw net-tools openssl sqlite wireless_tools,,,
66,airspy,1.0.7,2015-12-27T21:49:28.631Z,libusb>=1.0,cmake,,
67,aisleriot,3.22.5,2018-03-24T22:50:38.121Z,dconf gconf gtk3 guile libcanberra librsvg,appdata-tools docbook-xsl git gnome-common intltool itstool yelp-tools,,libkdegames: KDE card sets pysolfc: PySol card sets pysolfc-cardsets: PySol card sets
68,aj-snapshot,0.9.8,2018-02-26T10:51:29.922Z,jack mxml,,,
69,akonadi,18.04.0,2018-04-21T13:54:37.293Z,hicolor-icon-theme kio kitemmodels mariadb,boost extra-cmake-modules kdesignerplugin postgresql qt5-tools,,postgresql: PostgreSQL backend
70,akonadi-calendar,18.04.0,2018-04-21T13:54:42.709Z,akonadi-contacts kcalutils kmailtransport,boost extra-cmake-modules,,
71,akonadi-calendar-tools,18.04.0,2018-04-21T13:54:46.377Z,calendarsupport kdelibs4support,boost extra-cmake-modules kdesignerplugin kdoctools,,
72,akonadiconsole,18.04.0,2018-04-21T13:54:47.755Z,calendarsupport messagelib,boost extra-cmake-modules kdoctools,,
